"n","p","b_0","b_1","sigbsq","PQL_b_0","Laplace_b_0","nAGQ_4_b_0","nAGQ_10_b_0","nAGQ_25_b_0","b_0_PQL_bias","b_0_Laplace_bias","b_0_4_bias","b_0_10_bias","b_0_25_bias","PQL_b_1","Laplace_b_1","nAGQ_4_b_1","nAGQ_10_b_1","nAGQ_25_b_1","b_1_PQL_bias","b_1_Laplace_bias","b_1_4_bias","b_1_10_bias","b_1_25_bias"
40,100,-2,-2,1,-1.86507289012931,-1.89506784869028,-1.8967732305659,-1.89662004134368,-1.89661229002799,0.134927109870695,0.104932151309719,0.1032267694341,0.103379958656323,0.103387709972007,-1.90050276926352,-1.99510062370828,-1.99677878265278,-1.99667054773608,-1.99666640377525,0.0994972307364759,0.00489937629172443,0.0032212173472157,0.00332945226391868,0.00333359622475005
40,100,-2,-2,1,-1.80685126867401,-1.83324114806655,-1.83474695919472,-1.83459940996969,-1.83458595361869,0.19314873132599,0.166758851933446,0.16525304080528,0.165400590030314,0.165414046381311,-1.97519298571449,-2.07052152839176,-2.0727331384359,-2.07252610367781,-2.07253244775465,0.0248070142855088,-0.0705215283917564,-0.0727331384359031,-0.0725261036778102,-0.0725324477546501
40,100,-2,-2,1,-2.27290011683734,-2.31073829520573,-2.31271276018841,-2.31253097126096,-2.31252607840944,-0.272900116837341,-0.310738295205729,-0.312712760188411,-0.312530971260962,-0.312526078409438,-1.62775123021155,-1.71253936943389,-1.71434556291064,-1.71426843801127,-1.71428356260435,0.372248769788452,0.287460630566108,0.285654437089358,0.285731561988729,0.28571643739565
40,100,-2,-2,1,-2.35868415494015,-2.39715123642668,-2.39994317559349,-2.39959485400971,-2.39958158312678,-0.358684154940152,-0.397151236426684,-0.399943175593495,-0.399594854009709,-0.399581583126782,-1.7262597105261,-1.82608582830078,-1.82892283004047,-1.82883785992658,-1.82882769462183,0.273740289473897,0.173914171699221,0.171077169959533,0.171162140073425,0.171172305378172
40,100,-2,-2,1,-2.20795451732853,-2.2475460287803,-2.24930532237256,-2.24917835392563,-2.24917449313178,-0.207954517328532,-0.247546028780295,-0.249305322372563,-0.249178353925634,-0.249174493131776,-1.45080170738786,-1.52435915772659,-1.52588873902,-1.52576831215145,-1.52577302463891,0.549198292612139,0.475640842273414,0.474111260979996,0.474231687848548,0.474226975361091
40,100,-2,-2,1,-1.86334644542904,-1.88886662671228,-1.88958672294367,-1.88952216442622,-1.88951873320492,0.136653554570961,0.111133373287717,0.110413277056332,0.110477835573779,0.110481266795078,-1.9866012818144,-2.05900652649755,-2.06118360630214,-2.06108585972822,-2.0611044662433,0.0133987181856032,-0.0590065264975497,-0.0611836063021407,-0.0610858597282178,-0.0611044662432967
40,100,-2,-2,1,-1.93051270054264,-1.96444032281127,-1.96588625978322,-1.96578641274668,-1.96577417891347,0.069487299457365,0.0355596771887328,0.0341137402167755,0.034213587253324,0.0342258210865318,-1.70368638577033,-1.78809941341003,-1.78977027034313,-1.78957399873823,-1.78958813915329,0.296313614229669,0.211900586589971,0.210229729656874,0.210426001261772,0.210411860846711
40,100,-2,-2,1,-1.97553267491663,-2.00264585569372,-2.00391300136594,-2.00382207934888,-2.00381203061203,0.02446732508337,-0.00264585569371611,-0.00391300136593831,-0.00382207934888079,-0.00381203061203284,-1.69389412277305,-1.76459322653127,-1.76588446164462,-1.76582162922288,-1.7658239858316,0.306105877226949,0.235406773468733,0.234115538355376,0.234178370777115,0.234176014168401
40,100,-2,-2,1,-1.79192423015762,-1.82092966685376,-1.8230158517862,-1.82277574893108,-1.82275652901843,0.208075769842376,0.179070333146237,0.176984148213798,0.177224251068917,0.177243470981569,-2.25903161800523,-2.38961260491915,-2.39231528559701,-2.39205367730154,-2.39210160775212,-0.259031618005232,-0.389612604919146,-0.39231528559701,-0.392053677301536,-0.392101607752124
40,100,-2,-2,1,-2.29799283606026,-2.344374381537,-2.34755714017496,-2.34728585575406,-2.34729220933208,-0.297992836060263,-0.344374381537004,-0.347557140174956,-0.347285855754055,-0.347292209332078,-1.48150457877228,-1.57231188167741,-1.57311342474112,-1.5729648432715,-1.57296716173242,0.518495421227719,0.42768811832259,0.426886575258883,0.427035156728502,0.427032838267584
40,100,-2,-2,1,-2.11520875508591,-2.41812351032826,-2.41993953042981,-2.41864968418183,-2.41864954839915,-0.115208755085907,-0.418123510328264,-0.419939530429809,-0.418649684181826,-0.418649548399149,-1.14049214738929,-1.90711871526521,-1.89389015154595,-1.88913635880343,-1.88910224487272,0.859507852610712,0.0928812847347884,0.106109848454054,0.110863641196571,0.110897755127285
40,100,-2,-2,1,-2.1801550450923,-2.22872188680335,-2.2310177241309,-2.23071059147318,-2.23070739902746,-0.180155045092302,-0.228721886803349,-0.231017724130901,-0.230710591473178,-0.230707399027462,-1.26686057534469,-1.34512444891462,-1.34904908401288,-1.34794252606424,-1.34793042616148,0.733139424655306,0.654875551085381,0.650950915987117,0.652057473935755,0.652069573838515
40,100,-2,-2,1,-1.73147883226265,-1.75879645818885,-1.75878888024067,-1.75862548767939,-1.75863036735206,0.268521167737346,0.241203541811146,0.241211119759328,0.241374512320613,0.24136963264794,-2.3573516663493,-2.51196593872233,-2.47963352046419,-2.47944061302786,-2.47944728000471,-0.357351666349296,-0.51196593872233,-0.479633520464188,-0.47944061302786,-0.479447280004708
40,100,-2,-2,1,-1.82576915515304,-1.84846789487629,-1.84902408050239,-1.84898337576465,-1.84898327655842,0.174230844846956,0.151532105123713,0.150975919497606,0.151016624235348,0.151016723441575,-1.8241947205543,-1.87927693837538,-1.88077377734133,-1.88070354128344,-1.88070290793038,0.1758052794457,0.120723061624617,0.119226222658668,0.119296458716565,0.119297092069623
